Visitor,Vis.score,Home,Home.score
SFN,5,ARI,6
CHN,3,SLN,4
NYA,3,TBA,7
PHI,4,CIN,3
SDN,3,LAN,14
COL,7,MIL,5
ATL,0,NYN,6
MIA,2,WAS,4
TOR,2,BAL,3
PIT,3,BOS,5
SEA,0,HOU,3
KCA,1,MIN,7
ANA,2,OAK,4
CLE,8,TEX,5
SFN,8,ARI,4
SDN,4,LAN,0
COL,6,MIL,5
CHN,2,SLN,1
DET,6,CHA,3
SEA,1,HOU,2
ANA,7,OAK,6
NYA,5,TBA,0
CLE,4,TEX,3
SFN,6,ARI,8
PHI,0,CIN,2
SDN,1,LAN,3
COL,1,MIL,6
ATL,3,NYN,1
MIA,4,WAS,6
TOR,1,BAL,3
PIT,0,BOS,3
SEA,3,HOU,5
KCA,1,MIN,9
ANA,5,OAK,0
NYA,1,TBA,4
CLE,9,TEX,6
SFN,3,ARI,9
PHI,4,CIN,7
SDN,2,LAN,10
COL,2,MIL,1
ATL,2,NYN,6
CHN,6,SLN,4
MIA,4,WAS,3
DET,2,CHA,11
SEA,4,HOU,2
KCA,3,MIN,5
ANA,1,OAK,5
TOR,5,TBA,2
CLE,3,ARI,7
LAN,1,COL,2
CHN,1,MIL,2
MIA,7,NYN,2
WAS,7,PHI,6
ATL,4,PIT,5
SFN,6,SDN,7
CIN,2,SLN,0
SEA,1,ANA,5
NYA,5,BAL,6
MIN,3,CHA,1
BOS,5,DET,6
KCA,5,HOU,1
TOR,8,TBA,10
OAK,5,TEX,10
CLE,2,ARI,11
LAN,2,COL,4
CHN,11,MIL,6
MIA,8,NYN,1
WAS,3,PHI,17
ATL,4,PIT,6
SFN,1,SDN,2
CIN,4,SLN,10
SEA,4,ANA,5
NYA,4,BAL,5
MIN,2,CHA,6
BOS,1,DET,4
KCA,7,HOU,3
TOR,2,TBA,3
OAK,6,TEX,1
CLE,2,ARI,3
LAN,10,COL,6
CHN,7,MIL,4
MIA,2,NYN,5
WAS,3,PHI,4
ATL,5,PIT,6
SFN,5,SDN,3
CIN,8,SLN,0
SEA,9,ANA,10
NYA,7,BAL,3
MIN,4,CHA,1
BOS,7,DET,5
KCA,4,HOU,5
TOR,2,TBA,7
OAK,1,TEX,8
LAN,2,CHN,3
SDN,5,COL,3
NYN,4,PHI,3
CIN,7,PIT,1
ARI,1,SFN,4
SLN,6,WAS,14
BOS,1,DET,2
OAK,2,KCA,0
TBA,1,NYA,8
HOU,0,SEA,6
SDN,2,COL,3
ATL,4,MIA,8
NYN,14,PHI,4
CIN,6,PIT,2
ARI,4,SFN,3
SLN,3,WAS,8
TEX,5,ANA,6
BAL,1,BOS,8
CHA,1,CLE,2
MIN,1,DET,2
HOU,7,SEA,5
MIL,4,TOR,3
LAN,2,CHN,0
SDN,6,COL,0
ATL,5,MIA,4
NYN,5,PHI,4
CIN,9,PIT,2
ARI,2,SFN,6
SLN,6,WAS,1
TEX,8,ANA,3
BAL,12,BOS,5
CHA,2,CLE,1
MIN,3,DET,5
OAK,8,KCA,3
TBA,4,NYA,8
HOU,10,SEA,5
MIL,2,TOR,0
LAN,0,CHN,4
MIL,5,CIN,1
NYN,9,MIA,8
COL,3,SFN,1
TEX,8,ANA,3
PIT,3,BOS,4
CHA,10,CLE,4
MIN,11,DET,5
OAK,1,KCA,3
TBA,2,NYA,3
BAL,2,TOR,1
SDN,2,ATL,5
PIT,4,CHN,2
MIL,10,CIN,4
ARI,1,LAN,7
NYN,2,MIA,3
COL,2,SFN,8
PHI,2,WAS,3
TBA,10,BOS,5
DET,7,CLE,6
ANA,1,KCA,7
CHA,2,MIN,1
SLN,3,NYA,4
HOU,7,OAK,2
TEX,1,SEA,2
BAL,6,TOR,4
SDN,2,ATL,4
PIT,8,CHN,7
MIL,5,CIN,7
ARI,4,LAN,8
NYN,4,MIA,5
COL,5,SFN,0
PHI,4,WAS,2
TBA,1,BOS,2
DET,6,CLE,13
ANA,2,KCA,3
CHA,0,MIN,6
SLN,2,NYA,3
HOU,10,OAK,6
TEX,0,SEA,5
